,CITY,REFERENCE TAX INCOME,UNEMPLOYMENT RATE,RSA BENEFICIARIES,Average net monthly salaries,Percentage of employees on permanent contracts,Number of companies,Average wealth tax per household n/a,CAF beneficiaries,Population
45,LaGrand-Combe,12019.0,40.19%,13.31%,1823.99,77.49%,291.0,nc,31.30%,4955.0
46,LeMarin,16707.0,25.13%,10.20%,2030.91,75.26%,1066.0,nc,27.49%,8647.0
47,Liévin,16926.0,25.66%,6.64%,2030.64,81.50%,1275.0,nc,27.28%,30102.0
48,Saint-Fons,17239.0,22.08%,5.56%,2030.21,79.36%,1437.0,nc,26.59%,19500.0
49,Rivière-Pilote,15065.0,31.42%,10.70%,2057.60,79.58%,991.0,nc,28.61%,11675.0
50,Beuvrages,16986.0,27.25%,6.88%,2040.23,79.63%,172.0,nc,26.39%,6800.0
51,Calonne-Ricouart,16633.0,22.88%,6.13%,1968.93,78.65%,158.0,nc,27.33%,5511.0
52,Billy-Montigny,16841.0,23.75%,6.90%,2016.32,79.02%,360.0,nc,26.12%,8185.0
53,Raismes,17493.0,27.61%,6.72%,2058.33,80.17%,479.0,nc,26.80%,12201.0
54,Val-de-Reuil,16712.0,24.05%,4.74%,2069.29,74.03%,681.0,nc,27.32%,12702.0
55,Marles-les-Mines,14822.0,22.97%,6.01%,1934.42,80.67%,138.0,nc,28.27%,5524.0
56,Aniche,17244.0,23.69%,6.44%,2055.35,78.83%,421.0,nc,25.93%,9944.0
57,Allonnes,17802.0,21.23%,4.14%,2010.76,78.04%,313.0,nc,25.32%,11108.0
58,Alençon,19750.0,21.03%,6.18%,2049.45,78.45%,1744.0,nc,31.41%,25744.0
59,Avesnes-sur-Helpe,14110.0,38.46%,11.56%,1921.40,75.12%,287.0,nc,34.94%,4158.0
60,Châlette-sur-Loing,17611.0,26.16%,5.45%,2061.25,78.59%,608.0,nc,24.21%,12743.0
61,Tergnier,17733.0,25.13%,5.91%,2054.10,80.59%,374.0,nc,25.06%,13504.0
62,Bobigny,16365.0,21.07%,6.54%,1987.44,83.05%,6342.0,nc,26.25%,54906.0
63,Lourches,13015.0,36.82%,9.18%,1961.74,73.63%,175.0,nc,29.47%,3872.0
64,Noyelles-sous-Lens,16384.0,20.54%,5.51%,1942.94,80.39%,220.0,nc,27.18%,6590.0
65,Vénissieux,17837.0,23.25%,6.07%,2095.60,79.53%,4817.0,nc,28.86%,66765.0
66,Vieux-Habitants,13448.0,34.89%,13.20%,2039.42,79.25%,591.0,nc,31.07%,7067.0
67,Avion,17103.0,22.21%,6.21%,2068.35,80.18%,574.0,nc,25.72%,17676.0
68,Clichy-sous-Bois,15632.0,19.90%,7.18%,1978.32,81.87%,2478.0,nc,23.61%,29568.0
69,Maromme,17895.0,25.33%,5.59%,2060.63,79.58%,514.0,nc,29.01%,10845.0
70,Montataire,17360.0,22.11%,5.42%,2071.56,78.50%,673.0,nc,25.90%,13683.0
71,Basse-Terre,12821.0,40.30%,13.57%,1989.51,82.37%,1813.0,nc,37.65%,9892.0
72,Calais,17831.0,27.05%,7.97%,2111.69,80.43%,3374.0,nc,30.09%,67544.0
73,Vierzon,18851.0,23.42%,6.03%,2054.09,80.29%,1402.0,nc,25.21%,25045.0
74,Escautpont,16583.0,27.37%,5.35%,1981.93,75.68%,128.0,nc,25.70%,4172.0
