,CITY,REFERENCE TAX INCOME,UNEMPLOYMENT RATE,RSA BENEFICIARIES,Average net monthly salaries,Percentage of employees on permanent contracts,Number of companies,Average wealth tax per household n/a,CAF beneficiaries,Population
155,LesAbymes,14504.0,31.40%,14.21%,2145.57,82.34%,7115.0,nc,36.44%,52948.0
156,Lunéville,19317.0,19.20%,5.91%,2079.32,80.15%,1122.0,nc,29.26%,17858.0
157,Saint-Michel,17326.0,21.18%,4.92%,1972.62,75.56%,98.0,nc,25.46%,3279.0
158,Doullens,17849.0,24.82%,6.15%,2067.16,78.82%,339.0,nc,26.60%,5870.0
159,Port-la-Nouvelle,18975.0,21.94%,5.40%,2001.34,77.80%,441.0,nc,23.81%,5905.0
160,Rochefort,20462.0,21.14%,5.31%,2093.58,78.48%,2098.0,nc,29.43%,23410.0
161,Aubenas,20426.0,22.74%,4.45%,2058.99,78.08%,1447.0,nc,27.73%,12403.0
162,Dax,20752.0,20.61%,5.31%,2091.82,75.28%,2296.0,nc,30.73%,21044.0
163,Dreux,19251.0,23.51%,6.06%,2136.99,79.89%,2017.0,nc,26.78%,30744.0
164,Woippy,18906.0,23.72%,6.17%,2124.48,79.60%,931.0,nc,27.81%,14526.0
165,Harnes,18311.0,19.54%,5.42%,2085.88,80.80%,482.0,nc,24.19%,12277.0
166,Limoux,19518.0,18.57%,4.90%,2033.03,78.51%,926.0,nc,24.70%,10161.0
167,LePuy-en-Velay,20225.0,17.93%,3.89%,2047.30,75.87%,1908.0,nc,32.28%,18947.0
168,Avignon,19281.0,24.57%,6.55%,2140.24,78.38%,11273.0,9759,32.58%,90597.0
169,Fouquières-lès-Lens,18078.0,22.01%,4.20%,2023.37,81.28%,183.0,nc,23.46%,6333.0
170,Sin-le-Noble,18479.0,21.63%,6.11%,2104.07,81.79%,638.0,nc,25.99%,15442.0
171,Thiers,20156.0,20.99%,5.41%,2081.56,77.11%,1022.0,nc,25.93%,11470.0
172,Grand-Bourg,14699.0,26.91%,12.02%,2096.52,76.32%,707.0,nc,28.85%,4803.0
173,Jœuf,17028.0,20.05%,4.80%,2025.08,81.01%,284.0,nc,22.67%,6583.0
174,Lesparre-Médoc,18860.0,22.92%,4.47%,2000.54,77.26%,551.0,nc,22.13%,5826.0
175,Petit-Canal,15166.0,24.68%,9.25%,2114.98,80.30%,805.0,nc,24.45%,8195.0
176,Rambervillers,17700.0,26.51%,7.06%,2039.04,80.98%,366.0,nc,25.71%,5072.0
177,Roanne,18904.0,20.06%,4.49%,2081.52,82.23%,3116.0,nc,29.01%,34415.0
178,Saint-Gaudens,19583.0,19.83%,5.58%,2046.36,81.03%,1087.0,nc,27.37%,11664.0
179,Pont-Audemer,18377.0,21.77%,5.25%,2137.98,75.93%,860.0,nc,30.04%,9891.0
180,Clamecy,17868.0,22.83%,6.54%,1966.63,76.25%,284.0,nc,25.13%,3594.0
181,Decazeville,18072.0,21.94%,4.68%,1946.25,80.92%,398.0,nc,24.67%,5196.0
182,LeChambon-Feugerolles,18849.0,18.85%,3.78%,2065.80,79.74%,688.0,nc,25.36%,11857.0
183,Ruffec,17192.0,23.07%,7.55%,1851.41,77.71%,315.0,nc,29.94%,3370.0
184,Agen,19983.0,18.39%,6.61%,2137.73,76.14%,3098.0,nc,34.83%,32214.0
185,Tonneins,20041.0,19.75%,4.38%,1993.22,77.95%,587.0,nc,21.75%,9213.0
186,Haveluy,17189.0,27.43%,4.80%,2011.29,79.07%,104.0,nc,24.28%,3276.0
187,Soissons,19906.0,26.30%,5.61%,2162.24,78.97%,1904.0,6858,27.18%,28888.0
188,Basse-Pointe,12751.0,28.66%,10.55%,1968.31,74.62%,230.0,nc,32.12%,2727.0
189,Bully-les-Mines,18770.0,19.32%,5.08%,2065.41,82.85%,416.0,nc,25.17%,12080.0
190,Péronne,18938.0,25.40%,6.68%,2102.25,79.94%,786.0,nc,28.71%,7444.0
191,Troyes,19220.0,24.05%,6.12%,2141.05,77.62%,4381.0,12996,32.41%,62597.0
192,Audincourt,19948.0,20.60%,5.35%,2114.97,76.89%,881.0,nc,25.37%,13542.0
193,Château-Renault,19518.0,20.77%,4.25%,1944.60,80.01%,249.0,nc,26.40%,4895.0
194,Saint-Quentin,20299.0,24.48%,7.15%,2144.80,79.72%,3327.0,nc,29.47%,53100.0
195,Ham,18158.0,28.74%,6.97%,2095.17,77.61%,252.0,nc,25.34%,4510.0
196,Armentières,19002.0,18.32%,5.62%,2083.76,82.80%,1383.0,nc,28.97%,25225.0
197,Évreux,19535.0,21.36%,6%,2181.41,76.74%,3463.0,nc,31.18%,46869.0
198,Graulhet,18970.0,18.67%,4.09%,2043.90,79.39%,814.0,nc,21.90%,12914.0
199,Landrecies,18157.0,24.86%,5.62%,2032.71,76.64%,168.0,nc,25.09%,3456.0
200,Mazamet,19837.0,22.30%,4.59%,2072.72,78.72%,936.0,nc,22.47%,9953.0
201,Nevers,20605.0,20.08%,5.17%,2126.20,77.95%,2272.0,nc,32.26%,32284.0
202,Somain,18573.0,22.80%,5.68%,2117.92,81.79%,530.0,nc,25.83%,11869.0
203,Douai,19989.0,23.36%,7.41%,2177.32,78%,2782.0,nc,32.60%,39842.0
204,Saint-Dié-des-Vosges,20320.0,24.31%,6.87%,2136.31,79.32%,1593.0,nc,30.07%,19490.0
205,Capesterre-de-Marie-Galante,12571.0,25.45%,7.85%,1972.02,71.89%,289.0,nc,20.58%,3247.0
206,Morne-à-l'Eau,14942.0,28.42%,11.79%,2183.61,81.07%,1493.0,nc,30.06%,16223.0
207,Sainte-Foy-la-Grande,12904.0,35.48%,9.75%,1952.94,60.61%,279.0,nc,29.48%,2665.0
208,Chauny,18946.0,25.44%,6.54%,2158.02,78.80%,706.0,nc,27.24%,11438.0
209,Mamers,18969.0,19.28%,4.19%,1929.15,78.12%,306.0,nc,22.97%,5082.0
210,Commercy,18742.0,24.08%,6.13%,2092.29,79.66%,370.0,nc,28.13%,5352.0
211,Fumay,17176.0,25.15%,5.20%,2008.08,78.16%,145.0,nc,24.15%,3181.0
212,Revin,17979.0,26.50%,5.28%,2099.74,78.82%,266.0,nc,22.20%,5825.0
213,Sablé-sur-Sarthe,20230.0,18.25%,3.33%,2029.20,72.25%,609.0,nc,24.16%,12123.0
214,Tourcoing,18747.0,22%,6.54%,2156.43,82.29%,6199.0,nc,28.49%,99165.0
215,Bogny-sur-Meuse,18364.0,22.82%,5.73%,2067.58,80.05%,234.0,nc,22.73%,5011.0
216,LeVauclin,19104.0,26.81%,12.39%,2171.06,77.41%,763.0,nc,31.90%,8552.0
217,Lucé,19909.0,18.50%,4.23%,2090.92,80.03%,705.0,nc,26.83%,15525.0
218,Montdidier,18442.0,20.11%,5.03%,2095.04,79.01%,318.0,nc,25.20%,6051.0
219,LePetit-Quevilly,18799.0,20.05%,5.04%,2141.06,80.76%,1335.0,nc,28.97%,21997.0
220,LesSalles-du-Gardon,15302.0,26.03%,6.15%,1883.37,78.32%,120.0,nc,25.99%,2507.0
221,Verdun,21611.0,20.23%,6.36%,2095.95,78.66%,1186.0,nc,28.71%,16877.0
222,Capesterre-Belle-Eau,13484.0,39.79%,12.72%,2128.73,83.86%,1620.0,nc,30.14%,17628.0
223,Hénin-Beaumont,19396.0,20.16%,6.50%,2131.05,81.97%,1411.0,nc,27.08%,25886.0
224,Masny,17983.0,23.58%,6.19%,2083.44,81.30%,130.0,nc,25.27%,4080.0
225,Noyelles-Godault,18895.0,19.95%,4.91%,2074.02,80.10%,284.0,nc,25.91%,5864.0
226,Sainte-Anne,16761.0,22.71%,11.34%,2109.19,71.27%,513.0,nc,28.09%,4464.0
227,Desvres,17507.0,18.87%,4.23%,1977.68,80.03%,279.0,nc,23.11%,4861.0
228,Fourchambault,17691.0,18.66%,5.62%,1972.89,82.03%,198.0,nc,30.17%,4069.0
229,Guesnain,19104.0,21.03%,4.23%,2081.58,80.28%,95.0,nc,22.57%,4667.0
230,Saint-Louis,11217.0,29.62%,9.45%,1919.59,70.36%,239.0,nc,26.23%,2462.0
231,Fécamp,19932.0,19.69%,4.66%,2120.19,80.11%,940.0,nc,26.23%,18054.0
232,Bergerac,20872.0,19.46%,4.95%,2097.51,80.10%,2497.0,nc,26.27%,26360.0
233,Ille-sur-Têt,18526.0,20.84%,4.17%,1981.21,78.25%,363.0,nc,20.03%,5519.0
234,Mazingarbe,17322.0,19.67%,5.27%,2041.75,84.23%,263.0,nc,25.88%,8029.0
235,Méricourt,18298.0,22.27%,5.42%,2128.36,82.46%,372.0,nc,24.91%,11374.0
236,Morlaix,20435.0,20.27%,5.35%,2139.61,76.84%,1207.0,nc,30.56%,14709.0
237,Étaples,19836.0,18.88%,3.43%,2023.54,80.28%,585.0,nc,22.79%,10813.0
238,Libercourt,18302.0,24.49%,5.55%,2124.94,82.17%,339.0,nc,24.74%,8230.0
239,Périgueux,21355.0,18.75%,6.05%,2111.60,78.55%,2774.0,nc,34.21%,29255.0
240,Saint-Amand-Montrond,20636.0,21.45%,4.36%,1939.72,82.77%,559.0,nc,25.78%,9490.0
241,Saint-Gilles,19187.0,21.38%,4.02%,2107.43,75.99%,1014.0,nc,20.11%,14197.0
242,Châteaudun,20105.0,18.52%,4.19%,2082.48,76.34%,753.0,nc,21.65%,12949.0
243,Dugny,18068.0,21.81%,6.15%,2081.33,84.10%,533.0,nc,25.50%,11200.0
244,LeTréport,18553.0,20.06%,5.09%,2066.93,77.92%,268.0,nc,26.11%,4441.0
245,Berck,19898.0,19.20%,4.85%,1993.44,84.25%,849.0,nc,31.35%,13442.0
246,Cenon,18414.0,18.03%,4.93%,2168.33,78.54%,2796.0,nc,29.49%,26047.0
247,Sainte-Rose,15866.0,31.96%,10.88%,2222.35,79.36%,1887.0,nc,27.78%,17840.0
248,Wignehies,17119.0,26.74%,6.06%,1950.23,81.35%,105.0,nc,23.75%,2830.0
249,Beautor,16972.0,28.93%,6.21%,2069.33,78.15%,85.0,nc,23.24%,2718.0
250,Tarascon,19310.0,22.49%,3.64%,2082.53,78.01%,1189.0,nc,18.79%,15508.0
251,Chenôve,20445.0,18.22%,4.06%,2024.18,81.34%,1089.0,nc,24.25%,14323.0
252,LaFère,14010.0,30.47%,8.35%,nc,74.66%,165.0,nc,34.28%,2845.0
253,Stiring-Wendel,18941.0,21.61%,4.96%,2001.54,84.18%,521.0,nc,21.88%,11043.0
254,Bruyères,17448.0,24.12%,5.74%,2049.60,78.15%,192.0,nc,26.80%,3028.0
255,Saint-Denis,17168.0,22.07%,6.77%,2222.25,80.41%,12376.0,nc,27.82%,113116.0
256,Bessèges,15141.0,31.72%,9.91%,2010.67,79.88%,229.0,nc,30.24%,2766.0
257,Saint-Girons,19525.0,18.81%,5.87%,2032.05,82%,690.0,nc,26.86%,6415.0
258,Bar-sur-Aube,19223.0,22.68%,4.48%,2051.85,78.73%,320.0,nc,21.38%,4774.0
259,Raon-l'Étape,18912.0,21.03%,6.01%,2105.06,80.73%,369.0,nc,25.41%,6113.0
260,Marmande,21040.0,19.10%,4.48%,2098.63,78.12%,1527.0,nc,23.84%,17265.0
261,Nouzonville,18725.0,24.31%,6.12%,2076.86,82.86%,268.0,nc,24.64%,5635.0
262,Digoin,18606.0,20.97%,3.55%,2023.73,81.79%,452.0,nc,21.66%,7616.0
263,Longwy,20175.0,18.64%,4.76%,1940.89,83.76%,730.0,nc,21.82%,15117.0
264,Parthenay,20394.0,17.31%,3.74%,2048.28,77.54%,746.0,nc,24.07%,10108.0
265,Wattrelos,19747.0,18.84%,4.78%,2071.97,83.88%,1698.0,nc,24.14%,41015.0
266,Wingles,19000.0,22.09%,4.22%,2100.54,81.97%,359.0,nc,23.64%,8750.0
267,Haillicourt,18920.0,18.79%,4.69%,2054.06,81.56%,151.0,nc,24.47%,4864.0
268,LaFertéMacé,20066.0,17.38%,4.07%,1967.12,76.65%,298.0,nc,22.20%,5138.0
269,Breteuil,18677.0,21.40%,4.93%,2034.38,81.66%,226.0,nc,26.64%,4192.0
270,Châtillon-sur-Seine,18727.0,18.44%,4.78%,1939.96,82.51%,391.0,nc,22.28%,5352.0
271,Sevran,18633.0,20.52%,5.42%,2094.16,84.42%,3149.0,nc,24.01%,51778.0
272,Coutances,20280.0,15.54%,3.96%,2039.20,74.12%,738.0,nc,29.01%,8380.0
273,Nogent-sur-Oise,19079.0,20.48%,5.13%,2163.48,81.10%,965.0,nc,24.50%,21589.0
274,Saint-Étienne,20509.0,20.40%,4.48%,2186.48,77.48%,13841.0,6896,29.15%,174082.0
275,Aiguillon,18698.0,21.83%,4.93%,2012.06,68.04%,286.0,nc,18.72%,4253.0
276,Aubusson,17304.0,19.65%,4.21%,1778.42,79.24%,337.0,nc,32.40%,3181.0
277,Darnétal,18960.0,21.83%,5.19%,2157.18,80.44%,524.0,nc,28.25%,9780.0
278,Mirecourt,18910.0,17.75%,5%,2086.20,76.67%,322.0,nc,30.70%,4819.0
279,Montceau-les-Mines,20445.0,19.64%,4.53%,2107.16,81.33%,1093.0,nc,26.55%,17239.0
280,Outreau,19894.0,17.76%,3.60%,2012.42,81.99%,470.0,nc,23.34%,13178.0
281,Solesmes,19042.0,23.45%,4.47%,2047.75,80.13%,229.0,nc,23.02%,4266.0
282,Cambrai,20587.0,23.51%,6.09%,2169.16,80.87%,2467.0,nc,28.36%,31559.0
283,Carpentras,20691.0,20.84%,3.99%,2141.29,77.20%,3036.0,7165,22.58%,29865.0
284,Loison-sous-Lens,19152.0,21.15%,5.02%,2087.24,80.32%,272.0,nc,22.82%,5308.0
285,Castelnaudary,20003.0,14.26%,3.79%,2040.53,65.46%,985.0,nc,23.76%,12467.0
286,Firminy,19310.0,17.49%,3.76%,2086.86,81.49%,1156.0,nc,24.52%,16953.0
287,Saint-Ambroix,17008.0,32.59%,8.75%,2069.38,81.07%,306.0,nc,28.41%,3324.0
288,Soyaux,19941.0,22.87%,6.61%,2165.44,79.66%,678.0,nc,25.07%,9969.0
289,Trèbes,19261.0,19.32%,4.97%,2004.47,81.58%,350.0,nc,21.16%,5438.0
290,Lillers,19484.0,18.93%,5.29%,2131.93,81.10%,502.0,nc,24.27%,9866.0
291,Luxeuil-les-Bains,20416.0,20.77%,4.57%,2095.20,78.58%,558.0,nc,25.96%,6644.0
292,Hesdin,14708.0,32.40%,7.34%,1968.69,76.13%,221.0,nc,30.69%,2218.0
293,Miramont-de-Guyenne,16290.0,19.50%,5.27%,1848.70,80.41%,246.0,nc,23.67%,3087.0
294,Poitiers,21137.0,18.94%,5.32%,2180.71,73.39%,5810.0,7767,38.04%,90033.0
295,Friville-Escarbotin,19236.0,18.42%,3.46%,1964.53,78.87%,272.0,nc,22.25%,4492.0
296,Saint-Étienne-du-Rouvray,19805.0,21.35%,4.40%,2166.73,81.61%,1339.0,nc,26.86%,28331.0
297,Baillif,14639.0,32.30%,11.54%,2086.06,84.08%,467.0,nc,28.80%,5122.0
298,Sainte-Livrade-sur-Lot,18876.0,18.07%,3.57%,1953.27,72.93%,425.0,nc,17.83%,6487.0
299,Vals-les-Bains,19844.0,22.77%,4.56%,1986.81,78.71%,326.0,nc,27.40%,3495.0
300,Homécourt,18967.0,20.24%,4.35%,2074.71,82.53%,235.0,nc,22.23%,6245.0
301,Auxi-le-Château,17867.0,24.82%,4.69%,1963.30,73.13%,143.0,nc,21.09%,2563.0
302,Caudebec-lès-Elbeuf,19304.0,19.94%,6.13%,2171.62,80.81%,388.0,nc,26.61%,9996.0
303,Senones,16801.0,24.38%,6.18%,1955.56,80.14%,144.0,nc,24.45%,2394.0
304,Cléon,18864.0,25.43%,5.54%,2180.81,76.12%,163.0,nc,23.66%,4919.0
305,Quillan,17370.0,23.47%,7.50%,2006.26,81.48%,346.0,nc,25.05%,3141.0
306,Montréjeau,16339.0,24.34%,7.93%,2087.77,77.29%,265.0,nc,31.56%,2726.0
307,Saint-Vallier,18200.0,20.24%,4.49%,2104.52,77.64%,306.0,nc,26.02%,4017.0
308,Uckange,19558.0,23.86%,4.23%,2076.05,81.82%,326.0,nc,19.58%,6951.0
309,Brionne,19138.0,21.98%,4.57%,2113.37,76.84%,258.0,nc,23.84%,4184.0
310,Guéret,21052.0,15.53%,4.34%,2003.18,81.53%,929.0,nc,29.08%,12698.0
311,Caussade,20291.0,18.74%,4.14%,2065.65,80.34%,508.0,nc,25.22%,6819.0
312,Cavaillon,20213.0,17.41%,3.72%,2132.56,78.38%,2701.0,nc,23.58%,25832.0
313,Clermont-l'Hérault,19317.0,22.52%,5.04%,2181.93,79.20%,1053.0,nc,27.87%,9126.0
314,Conches-en-Ouche,20106.0,21.24%,3.71%,2072.38,77.63%,325.0,nc,24.16%,4950.0
315,LaCouronne,20708.0,17.90%,3.77%,2067.56,79.13%,467.0,nc,27.09%,7742.0
316,LeBlanc-Mesnil,19047.0,20.41%,5.10%,2115.18,84.38%,4185.0,nc,22.32%,57989.0
317,Mont-Saint-Martin,19228.0,22.39%,4.76%,1935.32,84.75%,244.0,nc,18.14%,9020.0
318,Saint-Esprit,17134.0,23.08%,8.30%,2176.39,82.58%,672.0,nc,23.47%,10120.0
319,Souillac,19584.0,21.66%,4.60%,1986.29,76.18%,358.0,nc,25.58%,3203.0
320,Vimoutiers,17760.0,22.14%,5.34%,2062.55,77.60%,217.0,nc,23.10%,3096.0
321,LaLoupe,18224.0,20.93%,4.31%,1979.99,81.05%,215.0,nc,23.87%,3327.0
322,LeMoule,16619.0,32.44%,11.09%,2294.20,79.86%,2562.0,nc,28.22%,22230.0
323,Trélon,18468.0,21.72%,4.44%,1982.40,79.95%,132.0,nc,23.52%,2744.0
324,Bapaume,16637.0,19.17%,2.76%,1941.98,74.22%,255.0,nc,21.78%,3749.0
325,LesNoës-près-Troyes,19032.0,19.32%,4.07%,2048.62,81.06%,100.0,nc,27.30%,3279.0
326,Annonay,21000.0,20.15%,4.31%,2162.55,78.06%,1122.0,nc,27.14%,16359.0
327,Deshaies,16832.0,27.14%,9.66%,2131.61,79.91%,606.0,nc,25.14%,3963.0
328,LeBarcarès,20317.0,27.54%,4.58%,2105.19,76.92%,559.0,nc,20.90%,5894.0
329,Morhange,18813.0,23.60%,5.06%,2066.42,80.30%,264.0,nc,23.13%,3390.0
330,Vandœuvre-lès-Nancy,20875.0,18.62%,4.77%,2188.41,77.09%,1978.0,nc,36.37%,29723.0
331,Vichy,20949.0,22.37%,5.83%,2205.62,78.49%,2452.0,nc,31.82%,25372.0
332,Coulaines,21014.0,23.25%,5.56%,2161.35,79.17%,269.0,nc,25.07%,7958.0
333,LesMureaux,19133.0,18.43%,4.94%,2165.50,82.16%,2229.0,nc,23.64%,33543.0
334,Saint-Brieuc,21703.0,17.81%,4.88%,2148.03,78.93%,3069.0,nc,28.70%,44166.0
335,Anse-Bertrand,15455.0,24.53%,8.76%,2100.80,82.31%,455.0,nc,26.58%,3871.0
336,Oignies,18888.0,20.32%,4.08%,2130.76,82.92%,407.0,nc,23.40%,10130.0
337,Port-Vendres,21430.0,22.99%,4.18%,1982.52,73.60%,307.0,nc,23.48%,3995.0
338,Sains-du-Nord,18567.0,26.60%,5.15%,2032.92,82.27%,92.0,nc,22.99%,2787.0
339,Sens,20996.0,22.42%,5.23%,2198.35,78.44%,2057.0,nc,25.89%,26854.0
340,Falaise,20279.0,16.12%,3.71%,2017.83,81.65%,592.0,nc,26.90%,7849.0
341,Montval-sur-Loir,20079.0,21.74%,3.65%,2055.72,79.70%,297.0,nc,20.16%,5903.0
342,Valréas,19811.0,19.81%,3.23%,2091.97,77.05%,741.0,nc,19.88%,9381.0
343,Colombelles,19046.0,19.62%,3.33%,2021.79,83.60%,494.0,nc,27.29%,7029.0
344,LesAnses-d'Arlet,16182.0,25.63%,9.38%,2164.82,71.77%,342.0,nc,23.91%,3630.0
345,Gamaches,18537.0,22.28%,5.40%,1997.97,79.36%,146.0,nc,23.45%,2461.0
346,Mâcon,21559.0,18.18%,3.92%,2138.05,77.39%,2906.0,nc,26.76%,34414.0
347,Saint-Just-en-Chaussée,18905.0,18.43%,3.94%,2085.24,81.63%,280.0,nc,23.75%,6056.0
348,Tarare,19642.0,17.74%,3.64%,2096.54,81.76%,750.0,nc,26.72%,10572.0
349,Brioude,20396.0,16.92%,3.64%,2004.64,80.05%,613.0,nc,23.73%,6537.0
350,Chalon-sur-Saône,21179.0,19.08%,4.30%,2177.07,78.03%,3180.0,nc,28.12%,45094.0
351,Château-Thierry,20364.0,22.63%,4.95%,2182.41,80.51%,993.0,nc,26.16%,15306.0
352,Saint-Loup-sur-Semouse,16437.0,23.04%,3.60%,1956.09,81.65%,178.0,nc,23.03%,3046.0
353,Toul,20332.0,17.54%,4.65%,2130.22,81.61%,1078.0,nc,26.02%,15857.0
354,Agde,21997.0,27.54%,6.65%,2133.87,82.28%,4094.0,8473,25.38%,29201.0
355,Châteauroux,21640.0,17.97%,4.99%,2143.44,79.78%,2547.0,nc,27.22%,43331.0
356,Flers-en-Escrebieux,19527.0,20.71%,4.87%,2129.86,80.77%,330.0,nc,24.05%,5751.0
357,Fruges,16546.0,19.16%,4.59%,1821.40,79.42%,162.0,nc,27.52%,2338.0
358,LePéage-de-Roussillon,18896.0,20.63%,4.07%,2151.43,79.34%,460.0,nc,24.08%,6444.0
359,Roye,19449.0,20.95%,5.55%,2182.13,75.83%,362.0,nc,26.42%,5703.0
360,Tarascon-sur-Ariège,17975.0,22.31%,4.58%,2017.45,78.88%,267.0,nc,21.95%,3013.0
361,Valenton,19076.0,19.31%,5.31%,2148.67,83.15%,1046.0,nc,26.82%,14538.0
362,Albert,19636.0,21.49%,4.37%,2158.66,81.41%,544.0,nc,23.98%,9814.0
363,Knutange,20679.0,23.52%,6.09%,1986.25,81.16%,154.0,nc,22.77%,3197.0
364,Vervins,18099.0,24.63%,6.15%,2122.32,72.76%,134.0,nc,27.31%,2600.0
365,Creutzwald,20810.0,18.67%,4.55%,2120.66,80.11%,772.0,nc,21.12%,12772.0
366,Terrasson-Lavilledieu,20017.0,20.41%,3.45%,2072.17,80.32%,488.0,nc,20.96%,6264.0
367,Bondy,18810.0,20.54%,6.71%,2182.25,84.33%,4100.0,nc,26.91%,53342.0
368,Houdain,19713.0,19.63%,3.90%,2100.63,82.40%,217.0,nc,21.56%,7066.0
369,LeThillot,18827.0,22.21%,3.29%,1963.38,80.68%,223.0,nc,22.23%,3316.0
370,Pézenas,20924.0,18.73%,5.75%,2128.60,79.47%,1300.0,nc,28.27%,7857.0
371,Elne,22718.0,20.13%,4.15%,1974.05,81.47%,876.0,nc,23.79%,9402.0
372,Saint-Hippolyte-du-Fort,19113.0,17.60%,5.39%,2025.47,81.26%,388.0,nc,24.90%,3752.0
373,Arles-sur-Tech,19670.0,21.85%,5.37%,2015.49,79.15%,161.0,nc,23.19%,2784.0
374,Drancy,20130.0,20.13%,6.63%,2155.36,84.32%,7208.0,nc,24.64%,71276.0
375,Fougères,20976.0,16.44%,3.45%,2116.39,78.52%,1254.0,nc,26.65%,20505.0
376,Guînes,20123.0,22.44%,3.97%,2109.56,80.77%,199.0,nc,22.11%,5581.0
377,Valras-Plage,21110.0,25%,4.61%,2028.07,78.91%,520.0,nc,22.94%,4188.0
378,Brienon-sur-Armançon,17363.0,21.91%,4.24%,2002.06,82.89%,151.0,nc,22.89%,3160.0
379,Cahors,22708.0,18.29%,4.97%,2116.78,78.73%,1950.0,nc,27.82%,20159.0
380,LeQuesnoy,18766.0,21.20%,4.53%,2168.11,77.20%,303.0,nc,25.39%,4863.0
381,Mussidan,17965.0,18.33%,4.90%,2040.99,77.84%,245.0,nc,24.68%,2788.0
382,Rivesaltes,20752.0,17.02%,4.62%,2063.05,82.20%,877.0,nc,24.31%,9020.0
383,Saint-Maixent-l'École,19217.0,12.57%,3.72%,2017.74,49.54%,325.0,nc,22.80%,7243.0
384,Thouars,21691.0,16.16%,3.63%,2045.88,79.21%,827.0,nc,22.74%,13917.0
385,Crespin,19162.0,22.62%,4.83%,2136.95,81.54%,145.0,nc,21.77%,4481.0
386,Mantes-la-Jolie,18950.0,21.04%,5.41%,2284.60,78.57%,3287.0,nc,25.48%,43945.0
387,Saint-Seurin-sur-l'Isle,17966.0,19.19%,3.40%,1950.85,80.31%,197.0,nc,22.79%,3134.0
388,Fleurance,19527.0,15.95%,3.84%,1992.66,82.25%,528.0,nc,23.89%,5890.0
389,Gournay-en-Bray,18741.0,20.84%,3.97%,2126.41,81.59%,397.0,nc,22.96%,6027.0
390,Lallaing,18398.0,19.90%,4.64%,2122.67,83.76%,221.0,nc,24.85%,6311.0
391,Loudun,20188.0,16.56%,3.34%,1975.18,80.04%,437.0,nc,20.11%,6702.0
392,Neufchâtel-en-Bray,19119.0,16.41%,4.32%,2063.49,80.87%,355.0,nc,24.66%,4646.0
393,Trith-Saint-Léger,19720.0,20.57%,3.80%,2128.10,81.20%,253.0,nc,24.44%,6186.0
394,Angoulême,20292.0,22.19%,7.66%,2255.62,74.11%,3731.0,11431,34.91%,41407.0
395,Jarville-la-Malgrange,20881.0,16.92%,6.17%,2155.58,79.99%,526.0,nc,28.65%,9396.0
396,Bischwiller,20379.0,17.68%,3.01%,2079.12,81.55%,699.0,nc,24%,12606.0
397,Grandvilliers,18699.0,22.72%,4.52%,2022.24,80.79%,182.0,nc,22.40%,2793.0
398,Hombourg-Haut,19830.0,20.61%,4.01%,2116.17,78.89%,257.0,nc,19.34%,6275.0
399,Laroque-d'Olmes,18332.0,18.86%,5.69%,1989.79,78.25%,191.0,nc,22.27%,2391.0
400,Nogent-le-Rotrou,21886.0,15.78%,3.85%,2041.98,77.07%,628.0,nc,22.30%,9433.0
401,Rethel,20476.0,19.14%,4.48%,2116.12,81.68%,515.0,nc,23.97%,7445.0
402,Sées,18466.0,15.74%,2.96%,2007.60,78.91%,263.0,nc,26.32%,4199.0
403,Beauvais,20277.0,22.51%,6.64%,2211.34,81.07%,3908.0,15403,28.98%,56889.0
404,Épinay-sur-Seine,19504.0,18.40%,5.60%,2221.01,81.44%,4853.0,nc,24.99%,54419.0
405,Avallon,19823.0,20.81%,5.21%,2138.42,82.32%,523.0,nc,26.59%,6414.0
406,Jonzac,20863.0,19.61%,3.80%,2025.40,73.96%,392.0,nc,27.63%,3542.0
407,LaTrinité,20100.0,24.86%,10.97%,2241.48,80.72%,1159.0,nc,28.74%,11860.0
408,Moissac,19708.0,20.80%,2.88%,2100.24,73.96%,897.0,nc,17.35%,13738.0
409,Oloron-Sainte-Marie,20545.0,16.91%,3.47%,2103.81,80.06%,972.0,nc,24.54%,10653.0
410,Onnaing,20704.0,21.24%,5.36%,2160.83,81.74%,350.0,nc,24.23%,8742.0
411,Blaye-les-Mines,18407.0,18.71%,3.53%,1892.72,81.63%,147.0,nc,24.74%,2925.0
412,Sains-en-Gohelle,19612.0,17.23%,4.05%,2055.22,83.83%,222.0,nc,24.60%,6035.0
413,Goussainville,19303.0,16.55%,4.80%,2083.29,85.20%,2622.0,nc,23.97%,30910.0
414,Lannemezan,18606.0,16.21%,2.94%,2035.24,81.22%,495.0,nc,26.16%,5803.0
415,Montbard,19232.0,18.75%,4.05%,2034.71,83.82%,264.0,nc,25.88%,4831.0
416,Saint-Éloy-les-Mines,17360.0,16.25%,3.70%,2032.25,79.83%,198.0,nc,22.95%,3492.0
417,Saint-Laurent-de-la-Salanque,21258.0,20.22%,3.87%,2060.96,82.83%,637.0,nc,21.02%,10053.0
418,Saint-Pierre-des-Corps,19709.0,19.80%,4.95%,2223.04,80.56%,910.0,nc,25.14%,15898.0
419,Vouziers,19668.0,17.50%,4.43%,2007.31,82.12%,309.0,nc,23.13%,4169.0
420,Bethoncourt,19803.0,21.73%,4.65%,2194.64,77.41%,164.0,nc,23.08%,5336.0
